state_name,district_name,block_tehsil_name,village_name,ref_village_type_name,major_medium_scheme,major_medium_scheme_name,geographical_area,cultivable_area,net_sown_area,gross_irrigated_area_kharif_season,gross_irrigated_area_rabi_season,gross_irrigated_area_perennial_season,gross_irrigated_area_other_season,gross_irrigated_area_total,net_irrigated_area,avg_ground_water_level_pre_monsoon,avg_ground_water_level_post_monsoon,ref_selection_wua_exists_name
MAHARASHTRA,PUNE,INDAPUR,THORATWADI,Non-Tribal,No,,314,271,190,100,90,0,0,190,190,18,11,No
MAHARASHTRA,PUNE,INDAPUR,AGOTI NO.1,Non-Tribal,No,,74,22,13,9,2,2,0,13,13,9,9,No
MAHARASHTRA,PUNE,INDAPUR,AGOTI NO.2,Non-Tribal,No,,1512,454,272,190,54,28,0,272,272,25,23,No
MAHARASHTRA,PUNE,INDAPUR,AJOTI,Non-Tribal,No,,24,7,4,2,1,1,0,4,4,22,20,No
MAHARASHTRA,PUNE,INDAPUR,ANTHURNE,Non-Tribal,No,,502,151,91,63,18,10,0,91,91,19,17,No
MAHARASHTRA,PUNE,INDAPUR,BAWADA,Non-Tribal,No,,1169,351,211,147,42,22,0,211,211,14,12,No
MAHARASHTRA,PUNE,INDAPUR,BEDSHINGE,Non-Tribal,No,,1037,311,187,130,37,20,0,187,187,13,11,No
MAHARASHTRA,PUNE,INDAPUR,BHADALWADI,Non-Tribal,No,,1966,590,354,247,70,37,0,354,354,19,17,No
MAHARASHTRA,PUNE,INDAPUR,BHANDGAON,Non-Tribal,No,,1082,325,195,136,39,20,0,195,195,22,20,No
MAHARASHTRA,PUNE,INDAPUR,BHARNEWADI,Non-Tribal,No,,1949,585,351,245,70,36,0,351,351,18,16,No
MAHARASHTRA,PUNE,INDAPUR,LASURNE,Non-Tribal,No,,1693,508,305,213,61,31,0,305,305,20,18,No
MAHARASHTRA,PUNE,INDAPUR,LONI,Non-Tribal,No,,334,100,60,42,12,6,0,60,60,23,21,No
MAHARASHTRA,PUNE,INDAPUR,MADANWADI,Non-Tribal,No,,1638,491,295,206,59,30,0,295,295,12,10,No
MAHARASHTRA,PUNE,INDAPUR,MALEWADI,Non-Tribal,No,,1509,453,272,190,54,28,0,272,272,18,16,No
MAHARASHTRA,PUNE,INDAPUR,MALWADI,Non-Tribal,No,,1509,453,272,190,54,28,0,272,272,11,9,No
MAHARASHTRA,PUNE,INDAPUR,MANKARWADI,Non-Tribal,No,,1792,538,323,226,64,33,0,323,323,12,10,No
MAHARASHTRA,PUNE,INDAPUR,MARADWADI,Non-Tribal,No,,1616,485,291,203,58,30,0,291,291,23,21,No
MAHARASHTRA,PUNE,INDAPUR,MHASOBACHIWADI,Non-Tribal,No,,1558,467,280,196,56,28,0,280,280,22,20,No
MAHARASHTRA,PUNE,INDAPUR,NARSINGPUR,Non-Tribal,No,,1866,560,336,235,67,34,0,336,336,20,18,No
MAHARASHTRA,PUNE,INDAPUR,NHAVI,Non-Tribal,No,,690,207,124,86,24,14,0,124,124,15,13,No
MAHARASHTRA,PUNE,INDAPUR,NIMBODI,Non-Tribal,No,,952,286,172,120,34,18,0,172,172,12,10,No
MAHARASHTRA,PUNE,INDAPUR,NIMGAON KETKI,Non-Tribal,No,,336,101,61,42,12,7,0,61,61,19,17,No
MAHARASHTRA,PUNE,INDAPUR,PITHEWADI,Non-Tribal,No,,189,57,34,23,6,5,0,34,34,20,18,No
MAHARASHTRA,PUNE,INDAPUR,PITKESHWAR,Non-Tribal,No,,751,225,135,94,27,14,0,135,135,21,19,No
MAHARASHTRA,PUNE,INDAPUR,PONDKULWADI,Non-Tribal,No,,926,278,167,116,33,18,0,167,167,24,22,No
MAHARASHTRA,PUNE,INDAPUR,POUNDHAWADI,Non-Tribal,No,,194,58,35,24,7,4,0,35,35,12,10,No
MAHARASHTRA,PUNE,INDAPUR,RAJWADI,Non-Tribal,No,,886,266,160,112,32,16,0,160,160,20,18,No
MAHARASHTRA,PUNE,INDAPUR,RANMODWADI,Non-Tribal,No,,1697,509,305,213,61,31,0,305,305,13,11,No
MAHARASHTRA,PUNE,INDAPUR,REDA,Non-Tribal,No,,1483,445,267,186,53,28,0,267,267,18,16,No
MAHARASHTRA,PUNE,INDAPUR,REDANI,Non-Tribal,No,,845,254,152,106,30,16,0,152,152,20,18,No
MAHARASHTRA,PUNE,INDAPUR,RUI,Non-Tribal,No,,470,141,85,59,17,9,0,85,85,20,18,No
MAHARASHTRA,PUNE,INDAPUR,SANSAR,Non-Tribal,No,,831,249,149,104,29,16,0,149,149,23,21,No
MAHARASHTRA,PUNE,INDAPUR,SARAFWADI,Non-Tribal,No,,528,158,95,66,19,10,0,95,95,12,10,No
MAHARASHTRA,PUNE,INDAPUR,SARATI,Non-Tribal,No,,1967,590,354,247,70,37,0,354,354,23,21,No
MAHARASHTRA,PUNE,INDAPUR,SARDEWADI,Non-Tribal,No,,1204,361,217,151,43,23,0,217,217,15,13,No
MAHARASHTRA,PUNE,INDAPUR,SUGAON,Non-Tribal,No,,1897,569,341,238,68,35,0,341,341,21,19,No
MAHARASHTRA,PUNE,INDAPUR,SURWAD,Non-Tribal,No,,1157,347,208,145,41,22,0,208,208,19,17,No
MAHARASHTRA,PUNE,INDAPUR,TAKRARWADI,Non-Tribal,No,,494,148,89,62,17,10,0,89,89,16,14,No
MAHARASHTRA,PUNE,INDAPUR,TANNU,Non-Tribal,No,,1324,397,238,166,47,25,0,238,238,14,12,No
MAHARASHTRA,PUNE,INDAPUR,TARANGWADI,Non-Tribal,No,,1744,523,314,219,62,33,0,314,314,18,16,No
MAHARASHTRA,PUNE,INDAPUR,TARATGAON,Non-Tribal,No,,1125,338,203,142,40,21,0,203,203,23,21,No
MAHARASHTRA,PUNE,INDAPUR,TAWASHI,Non-Tribal,No,,937,281,169,118,33,18,0,169,169,21,19,No
MAHARASHTRA,PUNE,INDAPUR,THORATWADI,Non-Tribal,No,,15,4,2,1,1,0,0,2,2,10,9,No
MAHARASHTRA,PUNE,INDAPUR,UDHAT,Non-Tribal,No,,112,34,20,14,4,2,0,20,20,20,18,No
MAHARASHTRA,PUNE,INDAPUR,VADAPURI,Non-Tribal,No,,1203,361,217,151,43,23,0,217,217,14,12,No
MAHARASHTRA,PUNE,INDAPUR,VANGALI,Non-Tribal,No,,1466,440,264,184,52,28,0,264,264,12,10,No
MAHARASHTRA,PUNE,INDAPUR,VARKUTE KH.,Non-Tribal,No,,944,283,170,119,34,17,0,170,170,23,21,No
MAHARASHTRA,PUNE,INDAPUR,VAYSEWADI,Non-Tribal,No,,156,47,28,19,5,4,0,28,28,15,13,No
MAHARASHTRA,PUNE,INDAPUR,VARKUTE BK.,Non-Tribal,No,,1396,419,251,175,50,26,0,251,251,11,9,No
MAHARASHTRA,PUNE,INDAPUR,VYAHALI,Non-Tribal,No,,1329,399,239,167,47,25,0,239,239,13,11,No
MAHARASHTRA,PUNE,INDAPUR,ZAGADEWADI,Non-Tribal,No,,261,78,47,32,9,6,0,47,47,14,12,No
MAHARASHTRA,PUNE,INDAPUR,BHAT NIMGAON,Non-Tribal,No,,76,23,14,9,3,2,0,14,14,13,11,No
MAHARASHTRA,PUNE,INDAPUR,BHAWADI,Non-Tribal,No,,1391,417,250,175,50,25,0,250,250,12,10,No
MAHARASHTRA,PUNE,INDAPUR,BHAWANINAGAR,Non-Tribal,No,,734,220,132,92,26,14,0,132,132,16,14,No
MAHARASHTRA,PUNE,INDAPUR,BHIGVAN,Non-Tribal,No,,1715,514,308,215,61,32,0,308,308,17,15,No
MAHARASHTRA,PUNE,INDAPUR,BHIGVANSTAION,Non-Tribal,No,,1113,334,200,140,40,20,0,200,200,13,11,No
MAHARASHTRA,PUNE,INDAPUR,BHODANI,Non-Tribal,No,,1769,531,319,223,63,33,0,319,319,18,16,No
MAHARASHTRA,PUNE,INDAPUR,BIJWADI,Non-Tribal,No,,1628,488,293,205,58,30,0,293,293,21,19,No
MAHARASHTRA,PUNE,INDAPUR,BIRGUNDWADI,Non-Tribal,No,,1450,435,261,182,52,27,0,261,261,23,21,No
MAHARASHTRA,PUNE,INDAPUR,BORATWADI,Non-Tribal,No,,1159,348,209,146,41,22,0,209,209,11,9,No
MAHARASHTRA,PUNE,INDAPUR,DALAJ NO.2,Non-Tribal,No,,1566,470,282,197,56,29,0,282,282,15,13,No
MAHARASHTRA,PUNE,INDAPUR,DALAJ NO.3,Non-Tribal,No,,555,166,100,70,20,10,0,100,100,14,12,No
MAHARASHTRA,PUNE,INDAPUR,DIKASAL,Non-Tribal,No,,1964,589,353,247,70,36,0,353,353,11,9,No
MAHARASHTRA,PUNE,INDAPUR,GAGARGAON,Non-Tribal,No,,984,295,177,123,35,19,0,177,177,20,18,No
MAHARASHTRA,PUNE,INDAPUR,GALAND WADI NO.1,Non-Tribal,No,,1053,316,190,133,38,19,0,190,190,17,15,No
MAHARASHTRA,PUNE,INDAPUR,GALAND WADI NO.2,Non-Tribal,No,,837,251,151,105,30,16,0,151,151,24,22,No
MAHARASHTRA,PUNE,INDAPUR,GANJEWALAN,Non-Tribal,No,,390,117,70,49,14,7,0,70,70,12,10,No
MAHARASHTRA,PUNE,INDAPUR,GHOLAPWADI,Non-Tribal,No,,1640,492,295,206,59,30,0,295,295,13,11,No
MAHARASHTRA,PUNE,INDAPUR,GHORPADWADI,Non-Tribal,No,,282,85,51,35,10,6,0,51,51,14,12,No
MAHARASHTRA,PUNE,INDAPUR,GIRAVI,Non-Tribal,No,,1305,392,235,164,47,24,0,235,235,14,12,No
MAHARASHTRA,PUNE,INDAPUR,GOKHALI,Non-Tribal,No,,14,4,2,1,1,0,0,2,2,17,15,No
MAHARASHTRA,PUNE,INDAPUR,GONDI,Non-Tribal,No,,929,279,167,116,33,18,0,167,167,22,20,No
MAHARASHTRA,PUNE,INDAPUR,GOSAVIWADI,Non-Tribal,No,,1933,580,348,243,69,36,0,348,348,25,23,No
MAHARASHTRA,PUNE,INDAPUR,GOTANDI,Non-Tribal,No,,1049,315,189,132,37,20,0,189,189,20,18,No
MAHARASHTRA,PUNE,INDAPUR,HANGARWADI,Non-Tribal,No,,1195,358,215,150,43,22,0,215,215,13,11,No
MAHARASHTRA,PUNE,INDAPUR,JACHAKVASTI,Non-Tribal,No,,737,221,133,93,26,14,0,133,133,12,10,No
MAHARASHTRA,PUNE,INDAPUR,KADBANWADI,Non-Tribal,No,,570,171,103,72,20,11,0,103,103,20,18,No
MAHARASHTRA,PUNE,INDAPUR,JAMB,Non-Tribal,No,,1813,544,326,228,65,33,0,326,326,25,23,No
MAHARASHTRA,PUNE,INDAPUR,JANKSHAN,Non-Tribal,No,,1778,533,320,224,64,32,0,320,320,21,19,No
MAHARASHTRA,PUNE,INDAPUR,KACHAREWADI,Non-Tribal,No,,1023,307,184,128,36,20,0,184,184,20,18,No
MAHARASHTRA,PUNE,INDAPUR,KACHAREWADI,Non-Tribal,No,,1748,524,314,219,62,33,0,314,314,16,14,No
MAHARASHTRA,PUNE,INDAPUR,KALAMB,Non-Tribal,No,,1988,596,358,250,71,37,0,358,358,11,9,No
MAHARASHTRA,PUNE,INDAPUR,KALAS,Non-Tribal,No,,1455,436,262,183,52,27,0,262,262,11,9,No
MAHARASHTRA,PUNE,INDAPUR,KALASHI,Non-Tribal,No,,1762,529,317,221,63,33,0,317,317,12,10,No
MAHARASHTRA,PUNE,INDAPUR,KALEWADI,Non-Tribal,No,,1094,328,197,137,39,21,0,197,197,17,15,No
MAHARASHTRA,PUNE,INDAPUR,KALTHAN NO.2,Non-Tribal,No,,1880,564,338,267,36,35,0,338,338,22,20,No
MAHARASHTRA,PUNE,INDAPUR,KANDALGAON,Non-Tribal,No,,681,204,122,85,24,13,0,122,122,14,12,No
MAHARASHTRA,PUNE,INDAPUR,KARDANWADI,Non-Tribal,No,,254,76,46,32,9,5,0,46,46,15,13,No
MAHARASHTRA,PUNE,INDAPUR,KAREWADI,Non-Tribal,No,,480,144,86,60,17,9,0,86,86,16,14,No
MAHARASHTRA,PUNE,INDAPUR,KATI,Non-Tribal,No,,348,104,62,43,12,7,0,62,62,23,21,No
MAHARASHTRA,PUNE,INDAPUR,KAUTHALI,Non-Tribal,No,,977,293,176,123,35,18,0,176,176,13,11,No
MAHARASHTRA,PUNE,INDAPUR,KAZAD,Non-Tribal,No,,761,228,137,95,27,15,0,137,137,20,18,No
MAHARASHTRA,PUNE,INDAPUR,KUMBHARGAON,Non-Tribal,No,,1523,457,274,191,54,29,0,274,274,21,19,No
MAHARASHTRA,PUNE,INDAPUR,KURAWALI,Non-Tribal,No,,1287,386,232,162,46,24,0,232,232,12,10,No
MAHARASHTRA,PUNE,INDAPUR,LAKADI,Non-Tribal,No,,830,249,149,104,29,16,0,149,149,13,10,No
MAHARASHTRA,PUNE,INDAPUR,LAKHEWADI,Non-Tribal,No,,576,173,104,72,20,12,0,104,104,13,11,No
MAHARASHTRA,PUNE,INDAPUR,LAMJEWADI,Non-Tribal,No,,1585,476,286,200,57,29,0,286,286,23,21,No
MAHARASHTRA,PUNE,INDAPUR,NIMSAKHAR,Non-Tribal,No,,552,166,100,70,20,10,0,100,100,25,23,No
MAHARASHTRA,PUNE,INDAPUR,NIRGUDE,Non-Tribal,No,,173,52,31,21,6,4,0,31,31,23,21,No
MAHARASHTRA,PUNE,INDAPUR,NIRNIMGAON,Non-Tribal,No,,377,113,68,47,13,8,0,68,68,21,19,No
MAHARASHTRA,PUNE,INDAPUR,NIRWANGI,Non-Tribal,No,,939,282,169,118,33,18,0,169,169,22,20,No
MAHARASHTRA,PUNE,INDAPUR,OZARE,Non-Tribal,No,,606,182,109,76,21,12,0,109,109,19,17,No
MAHARASHTRA,PUNE,INDAPUR,PALASDEO,Non-Tribal,No,,1874,562,337,235,67,35,0,337,337,15,13,No
MAHARASHTRA,PUNE,INDAPUR,PANDHARWADI,Non-Tribal,No,,1681,504,302,211,60,31,0,302,302,12,10,No
MAHARASHTRA,PUNE,INDAPUR,PARITWADI,Non-Tribal,No,,1185,356,214,149,42,23,0,214,214,13,11,No
MAHARASHTRA,PUNE,INDAPUR,PAWARWADI,Non-Tribal,No,,1268,380,228,159,45,24,0,228,228,16,14,No
MAHARASHTRA,PUNE,INDAPUR,PILEWADI,Non-Tribal,No,,1114,334,200,140,40,20,0,200,200,11,9,No
MAHARASHTRA,PUNE,INDAPUR,PIMPALE,Non-Tribal,No,,1667,500,300,210,60,30,0,300,300,14,12,No
MAHARASHTRA,PUNE,INDAPUR,PIMPRI BK.,Non-Tribal,No,,605,182,109,76,21,12,0,109,109,17,15,No
MAHARASHTRA,PUNE,INDAPUR,PIMPRI KH.,Non-Tribal,No,,1375,412,247,172,49,26,0,247,247,19,17,No
MAHARASHTRA,PUNE,INDAPUR,SHAHA,Non-Tribal,No,,1708,512,307,214,61,32,0,307,307,18,16,No
MAHARASHTRA,PUNE,INDAPUR,SHELGAON,Non-Tribal,No,,929,279,167,116,33,18,0,167,167,17,15,No
MAHARASHTRA,PUNE,INDAPUR,SHETPHALGADHE,Non-Tribal,No,,240,72,43,30,8,5,0,43,43,25,23,No
MAHARASHTRA,PUNE,INDAPUR,SHETPHAL HAVELI,Non-Tribal,No,,944,283,170,119,34,17,0,170,170,12,10,No
MAHARASHTRA,PUNE,INDAPUR,SHINDEWADI,Non-Tribal,No,,1205,362,217,151,43,23,0,217,217,11,9,No
MAHARASHTRA,PUNE,INDAPUR,SHIRSADI,Non-Tribal,No,,1126,338,203,142,40,21,0,203,203,9,9,No
MAHARASHTRA,PUNE,INDAPUR,TAKALI,Non-Tribal,No,,997,299,179,125,35,19,0,179,179,22,20,No
MAHARASHTRA,PUNE,INDAPUR,BALPUDI,Non-Tribal,No,,1984,595,357,249,71,37,0,357,357,21,19,No
MAHARASHTRA,PUNE,INDAPUR,GANESHWADI,Non-Tribal,No,,1390,417,250,175,50,25,0,250,250,20,18,No
MAHARASHTRA,PUNE,INDAPUR,HINGANEWADI,Non-Tribal,No,,648,194,116,81,23,12,0,116,116,17,15,No
MAHARASHTRA,PUNE,INDAPUR,HINGANGAON,Non-Tribal,No,,1195,358,215,150,43,22,0,215,215,22,20,No
MAHARASHTRA,PUNE,INDAPUR,JADHAVWADI,Non-Tribal,No,,1553,466,280,196,56,28,0,280,280,15,13,No
MAHARASHTRA,PUNE,INDAPUR,KALTHAN NO.1,Non-Tribal,No,,1880,564,338,236,67,35,0,338,338,25,23,No
MAHARASHTRA,PUNE,INDAPUR,KHOROCHI,Non-Tribal,No,,1273,382,229,160,45,24,0,229,229,25,23,No
MAHARASHTRA,PUNE,INDAPUR,LUMEWADI,Non-Tribal,No,,394,118,71,49,14,8,0,71,71,21,19,No
MAHARASHTRA,PUNE,INDAPUR,NARUTWADI,Non-Tribal,No,,1421,426,256,179,51,26,0,256,256,23,21,No
MAHARASHTRA,PUNE,INDAPUR,SAPKALWADI,Non-Tribal,No,,917,275,165,115,33,17,0,165,165,24,22,No
MAHARASHTRA,PUNE,INDAPUR,SIRSATWADI,Non-Tribal,No,,788,236,142,99,28,15,0,142,142,13,11,No
MAHARASHTRA,PUNE,INDAPUR,VAKILWASTI,Non-Tribal,No,,1661,498,299,209,59,31,0,299,299,19,17,No
MAHARASHTRA,PUNE,INDAPUR,PADASTHAL,Non-Tribal,No,,500,200,150,100,50,0,0,150,150,18,11,No
MAHARASHTRA,PUNE,INDAPUR,CHANDGAON,Non-Tribal,No,,1918,575,345,241,69,35,0,345,345,12,10,No
MAHARASHTRA,PUNE,INDAPUR,CHAVHANWADI,Non-Tribal,No,,1045,314,188,131,37,20,0,188,188,20,18,No
MAHARASHTRA,PUNE,INDAPUR,CHIKHALI,Non-Tribal,No,,1355,406,244,170,48,26,0,244,244,14,12,No
MAHARASHTRA,PUNE,INDAPUR,BORI,Non-Tribal,No,,379,114,68,47,13,8,0,68,68,14,12,No
MAHARASHTRA,PUNE,INDAPUR,CHAKATI,Non-Tribal,No,,51,15,9,6,2,1,0,9,9,17,15,No
MAHARASHTRA,PUNE,INDAPUR,AKOLE,Non-Tribal,No,,882,265,159,111,31,17,0,159,159,23,21,No
MAHARASHTRA,PUNE,INDAPUR,AWASARI,Non-Tribal,No,,938,281,169,118,33,18,0,169,169,21,19,No
MAHARASHTRA,PUNE,INDAPUR,BABHULGAON,Non-Tribal,No,,119,36,22,15,4,3,0,22,22,24,22,No
MAHARASHTRA,PUNE,INDAPUR,BAMBADWADI,Non-Tribal,No,,1483,445,267,186,53,28,0,267,267,12,10,No
MAHARASHTRA,PUNE,INDAPUR,BANDEWADI,Non-Tribal,No,,1541,462,277,193,55,29,0,277,277,20,18,No
MAHARASHTRA,PUNE,INDAPUR,BANDGARWADI ,Non-Tribal,No,,1287,386,232,162,46,24,0,232,232,15,13,No
MAHARASHTRA,PUNE,INDAPUR,BELEWADI,Non-Tribal,No,,265,80,48,33,9,6,0,48,48,11,9,No
MAHARASHTRA,PUNE,INDAPUR,DALAJ NO.1,Non-Tribal,No,,1729,519,311,217,62,32,0,311,311,20,18,No
